Row Reviewer,Author,Year,Methods,Title,Did they clearly define hotspot?,Hotspot Type,Hot Spot Definition,Types of Orgs,Journal,Lat,Lon,Location,Depth,Summary,Persistence examined?,Drivers Directly Observed,Condensed_obs_drivers,Drivers Suggested,Condensed_ sug_drivers,Notes,Review complete?
Z,Yen et al.,2006,Survey,Spring-time distributions of migratory marine birds in the southern California Current: Oceanic eddy associations and coastal habitat hotspots over 17 years,Y,Abundance/Density,"area of ""sustained primary production and marine bird concentrations""",seabirds,Deep Sea Research II,33.621,-119.678,California Current,surface,"Begins by discussing natural importance of hotspots as areas that concentrate energy transfer that affects growth and survival of fish and foraging success of top-predators, with documenting persistence and use of these regions of tight bio-physical coupling important for management. The authors used 17 years of data from CalCOFI spring cruises to examine spatial distributions and correlations with oceanographic features of 7 seabirds. Seabird density was estimated from visual shipboard transect surveys, oceanographic data was collected using CTDs, and prominent hydrographic features were identified using surface DyHt fields. Sea bird distributions were related to minimum distance of survey bin centroids to the core of the California current, all eddies, cyclonic and anticyclonic eddies, mean DyHt, DyHt gradient, mean chl-a and mean nitrate concentration. Point conception and waters South were identified as an area of exceptionally high chl-a concentration. This was the first study to document responses of top marine predators with mesoscale features over long time scales, showing that despite their variability in time and space, mesoscale eddies are a prevalent hydrographic habitat feature. There were signififcant differences in abundance of each species which could be explained by differences in timing of surveys and year to year differences in the timing of the transition period from low energy to high energy upwelling. 3 pelagic species were shown to associate with eddies in the region, specifically around the edges of eddies and meandering features which may serve to concentrate prey. Reinforcing this, species occurence decreased with increasing distance from eddy/meander. Past research has shown that the location and timing of spring spawning for sardine and anchovy, prey species, is also associated with hydrographic gradients. Overall, these findings suggest that persistent areas of upwelling/eddies are important regions for conservation and management to enhance and preserve foraging opportunities.",Y,"eddies, distance to eddies","circulation, distance to physical features",,,,
Dan,Temming et al.,2007,Survey,Predation hot spots: Large scale impact of local aggregations,Y,Foraging,"""aggregations of piscivorous fish predators on prey aggregations"" predator-prey hotspots",bony fish,Ecosystems,54.864,6.418,North Sea,demersal,"The authors looked at the impact of whiting predation on cod aggregations in the North Sea, leveraging data from a large scale survey of coarse resolution with a small scale survey nested within to detect finer details. The authors proposed that whiting aggregate on 0-group cod at smaller spatial scales, that they will feed on these schools over several days and have a severe impact on prey density which could have sweeping impacts to the entire North Sea, that high catches of large whiting do not occur in isolation at small spatial scales, and that predation hotspots are difficult to detect in large scale surveys. Using stomach contents and models, the authors created regressions to determine the response of whiting to 0-group dense patches of cod. Stomach content analysis found that whiting did prey exclusively on cod in a predation hotspot which had persisted for at least 5 days. If prey aggregations are detected by roaming whiting, they are in great danger from predation. Persistence of predation hotspots ranged from 3-5 days. High catches of whiting in the large scale survey were always accompanied by high catches in small scale surveys. The mechanisms behind cod aggregations could be due to larvae batches surviving at different rates depending on where and when they settle. Those that settle early are in prime habitat with low predator density and are aggresive to conspecifics while those that settle later are forced into less ideal open sand habitat and start schooling, but this is not an effective response to avoid predation as it increases whiting predation efficiency. Unfortunately, the study cannot show interannual variability of the occurence of these predation hotspots due to a lack of data, but the results do indicate how predation events can shape food web models (the importance of hotspots).",Y,"prey recruitment, prey mortality, prey abundance",species attributes,,,Questions paradigm of aggregation to avoid predation,
Gemma,Ashe & Williams,2007,Survey,"Feeding hotspots and whalewatching ""not-spots"": Using killer whale behavior to prioritize vessel exclusion zones",N,Foraging,Areas of higher than average likelihood of observing foraging behaviour,cetaceans,Journal of Cetacean Research and Management,48.503,-122.979,Northeast Pacific,surface,"Identified feeding locations for Southern Resident killer whales. Surveyed from a small boat and conducted focal follows from May-Aug 2006, recording behaviors of the whales (feeding/not feeding). Interviewed local experts to determine size of an area that could realistically be protected, managed, and enforced. Used whale data to construct a GAM and decision tree to ID areas where whales were most likely to be observed feeding, which would be priority areas of protection.",N,none,none,High prey availability,predator attributes,,Y
Gemma,Davoren,2007,"Survey, Acoustics, Fishery",Effects of gill-net fishing on marine birds in a biological hotspot in the Northwest Atlantic,Y,Foraging,"""Areas where high abudances of species overlap in space and time"", aggregations of high predator and prey abundance","bony fish,cetaceans,pinnipeds,seabirds",Conservation Biology,49.6,-53.4,East Canada,"surface,mid","Conducted acoustic survey transects of capelin and co-occuring mammal and bird predators and gill nets offshore of Funk Island Ecological Reserve in Newfoundland from 2000-2003. Used smaller vessels to conduct finer scale surveys to investigate persistence of aggregations within and among years. Calculated overall biomass using percentages of each species encountered multiplied times average mass. Collected dead birds and analyzed stomach contents. 21 bird and 9 mammal species were observed with common murres the most abundant (72% of birds) and humpbacks and minke whales were most abundant mammals. Bird biomass was consistently concentrated close to the coastal areas of Funk Island. Many gillnets were observed near Gull Island, and 4 aggregations of dead murres were observed near these nets over time. Spawning capelin made up the stomach contents of the dead birds, with postuhumous analysis indicating drowning from entanglement in gillnets as cause of death. Importantly, estimates of mortality within the hotspots exceeded regional mortality estimates (importance of hotspots) which is likely due to the pursuit diving foraging strategy employed by Murres. This has major ramificaitons for the persistence of the murre population as persistent bycatch can result in a decline in the local breeding population, which makes up 75% of the regional population. Davoren argues protection measures should be placed here, given the concentration of food web energy flow, and gill nets should be restricted from use during capelin spawning to mitigate bycatch.",Y,,species attributes,,,,Y
Z,Smith Jr. et al.,2007,"Survey, Satellite",Free-drifting icebergs: Hot spots of chemical and biological enrichment in the Weddell Sea,Y,Nutrients & Biogeochemical-Cycling,"Areas of continual micronutrient release, mentioned in the conclusion","plankton,krill,seabirds",Science,-53,-61,Antarctica,surface,"This study sought to prove whether icebergs contributed significantly to their surrounding ecosystems. To do so, they studied free floating icebergs off the Antarctic Peninsula by using a research vessel to transit in an expanding spiral from 20 m to 9 km and collect samples from a MOCNESS, an ROV, and a CTD. They found that the icebergs had a pronounced effect on the surrounding ecosystem, particularly within 3.7 NM with plankton, krill, and seabirds all showing elevated abundance. The authors then provided an estimate using the 3.7 NM sphere of influence and extrapolated that to 89 icebergs of similar size to the two in the study identified in a satellite image. They found that the combined area of influence by these icebergs would be 4387 km2. The overall importance of these hotspots lies in the fact that the icebergs could serve as major sources of carbon sequestration to the deep sea which is currently unaccounted for in global carbon budgets.",N,distance to iceberg,distance to physical features,,,,
Conner,Moulins et al.,2008,"Survey, Model",Partitioning of the Pelagos Sanctuary (north-western Mediterranean Sea) into hotspots and coldspots of cetacean distributions,Y,Abundance/Density,"""[L]ocations where the species occurred at a significantly greater frequency than expected...""",cetaceans,Journal of the Marine Biological Association of the United Kingdom,43.52,9.013,Mediterranean Sea,"surface,mid,demersal","This study used Monte Carlo simulations from cetacean surveys conducted aboard 5 small boats in the Mediterranean to identify hot- and cold-spots of abundance. The Monte Carlo model does not rely on descriptor variables and accounts for effort, with the null hypothesis that cetaceans are uniformly distributed. The most encountered species in the surveys were Striped dolphins, Fin whales, and Cuvier's beaked whales, with Striped dolphins being the most widely distributed. Striped dolphin hotspots were at the openings of Genoa Canyon. Fin whales had a southward gradient with hotspots concentrated in the southern extent of the survey area in depths over 2000 m. Cuvier's beaked whales were also found in Genoa Canyon between 1000-2000 m depths, and had another hotspot over a seamount. Risso's dolphins and sperm whales were rarely sighted, and hotspots were in depths exceeding 1000 m and near canyons. The authors suggest that these results indicate habitat preferences and foraging grounds as distrubutions match those of likely prey. They argue that the importance of these results are that they could be used to help guide mitigation efforts for anthropogenic influences. ",N,"bathymetry, seamounts, canyons",bathymetry,,,,
Dan,Evans & Wang (Evans),2008,Database,Harbor porpoise spatial modelling to identify possible hotspots for marine protected areas,Y,Abundance/Density,Area with greater than average numbers of porpoise,cetaceans,Proceedings of the ECS/ASCOBANS/ACCOBAMS Workshop,52.289,-5.694,UK,surface,"Part of a UK modelling effort and workshop at the European Cetacean Society meeting to examine distribution of harbor porpoise. Used GIS data, abundance values, and variography from the Joint Cetacean Database to derive finer scale distribution estimates from 1980-2002 consisting of over 17k sightings. Data were gridded and organized by month, year, and sea state. From this they calculated effective effort which was analyzed with principal component analysis and multivariate clustering. Porpoise presence was mapped including the distributions of calf:adult ratios in the summer. Several areas (categories) had higher than average porpoise numbers. Category 1 required locations to have consistent presence every month of the year for consecutive years, with at least 4 months having higher than average concentrations from Apr-Sep. Category 2 is the same but drops the consistency of concentration to at least 2 months. Category 3 is the same but can be outside the Apr-Sep window and requires 3 months of consistency. These areas may be candidates for conservation but the authors argue that it is important to use long term datasets to ensure trends observed are not ephemeral.",N,none,none,,,,
Dan,Renema et al.,2008,Paleontology,Hopping hotspots: Global shifts in marine biodiversity,Y,Diversity & Endemism,"""geographical areas of maximal biodiversity in a given time interval""","reef fish,coral,mollusks,sponges,inverts,plants",Science,-1.587,118.28,Indo-Australian Archipelago,demersal,"The authors examined the history of a biodiversity hotspot in the Indo-Australian Archipelago using the fossil record. They found that biodiversity hotspots shifted nearly halfway across the globe due to tectonic events which precipitated the creation of mountains, loss of shallow seas and seaways, and along with climate cooling and decreased dispersal, ""the senescence of the hotspot"".",N,tectonic events,"topography, bathymetry",,,,
Dan,Notarbartolo-di-Sciara (Evans),2008,Review,"Marine protected areas for cetaceans: basic concepts on selection, creation and management",Y,Foraging,"""Important feeding areas"" - taken from Hyrenbach et al. 2000",cetaceans,Proceedings of the ECS/ASCOBANS/ACCOBAMS Workshop,43.172,8.101,"Global,Mediterranean Sea","surface,mid,demersal","The author provided a framework for how effective marine protected areas (MPAs) should be setup taking into account the unique challenges of cetaceans, such as their global distributions. Hotspots were defined as static systems, persistent hydrographic features, or ephemeral habitats, the latter being the most challenging for creating and maintaining MPAs. Among some of the important answers to critiques of using MPAs for cetacean protection were ensuring ecosystem based management is carried out with appropriate focus on ecological functions/processes, that species can be protected across countries, and ""sharing of lessons learned, new tech, and management strategies"" with various organizations. Candidate areas for protection could be linked to various behaviors, natural processes, or bathymetry. The goals of the MPA should be clearly defined from the start and can include things such as re-establihsment of ecosystem integrity and user segregation to mitigate conflict or increase fish size for harvest. More recently, managers have emphasized using spatial modeling to find important habitat and then generate maps based off that. The Pelagos Sanctuary in the Mediterranean Sea was mentioned as a good example that involves multiple countries. ",N,none,none,,,,
Dan,Barale & Gade,2009,Satellite,Coupling of atmospheric forcing and ecosystem dynamics in the Mediterranean Sea: Multi-sensor observations of selected environmental hotspots,N,Abundance/Density,"Areas where wind patterns, SST, and chl-a coincide? ",microalgae,Protection & Conservation of European Seas,35.289,28.307,Mediterranean Sea,surface,"The authors compared a time series of QuikScat, AVHRR, and SeaWiFS  multisensor satellite observations over known environmental hotspots in the Mediterranean Sea from 2000-2007.  They compiled wind speed, SST, and chl-a associations and patterns throughout the year on a monthly scale and related it to phytoplankton blooms. Wind speed was highest in winter and decreased through summer. SST was the opposite and was lowest in winter, reaching a max in the summer. Chl-a patterns observed confirmed that nutrient levels are the limiting factor of phytoplankton blooms, not light as summer had the lowest bloom level of any season. The authors conclude by stating that ecological hotspots occur where vertical mixing resulting, algal blooms, and nutrient upwelling result from atmosphereic forcing with bloom dynamics reflective of increased air-sea interactions",N,"nutrients, SST, wind speed","nutrients, temperature, circulation",,,,
Nerea,Schofield et al.,2009,"Biologging, Survey",Conservation hotspots: Implications of intense spatial area use by breeding male and female loggerheads at the Mediterranean's largest rookery,N,Habitat,"From the title, ""intense spatial area use by breeding male and female 
loggerheads""? Core area use (foraging, breeding)",sea turtles,Endangered Species Research,40,19,Greece,"surface,mid","This study looked at spatial use of both male and female loggerheads in a Greek National Marine Park using satellite tags to identify core areas and help create effective zoning and conservation legislation. The work was conducted primarily in Laganas Bay in SE Greece during 2006 and 2007. Female turtles were tagged with recoverable GPS tags while males were tagged with transmitters that could relay data since it was unlikely that they could be recovered. The daily mean location for each turtle was calculated as well as the time of prenesting and internesting. Results concluded that both sexes tended to stick to coastal areas near nesting grounds before and after nesting, though some males would depart the area after nesting initiated to forage far away. This may be because females are conserving energy by staying near nesting areas and there is not enough food to support all the males at the same time, so some depart, and some remain resident. This study provides quantitative evidence of the need to improve the management planning and conservation measures to protect sea turtles in a coastal breeding area, and new insights on male turtle migration.",N,none,none,,,,Yes
Steph,Halpern et al.,2009,Model,Global priority areas for incorporating land-sea connections in marine conservation,Y,Multi-Risk & Threat,"Three types of hot spots based on threats: Cluster, Source, and Percent. Clusters were areas with high cumulative impact, Sources were areas where initial input from land drivers is high, and Percents were where land-based impacts were the main driver of cumulative impacts.",none,Conservation Letters,NA,NA,Global,"surface,mid,demersal","Globally, looked at hotspots of land use responsible for nutrient input, pollution, and direct impact of coastal populations. Hotspots were different types of threats; Cluster, Source, and Percent. Clusters were areas with high cumulative impact, sources were areas where initial input from land drivers is high, and percents were where land-based impacts were the main driver of cumulative impacts. A scoring metric was employed to determine the different types of hotspots and multivariate linear regression compared country coastline length and population to coastal waters impacted. 31 cluster, 28 percent, and 30 source hotspots were found, with Russia, China, and India having the highest hotspots. There was regional variation between the different types of hotspots. Countries with higher populations and more coastline did show greater impacts. The study suffered from the lack of a globally comprehensive dataset for land-based stressors, excluding site connectivity, and ignoring habitat conversion. Regardless, it was the first global analysis of its kind.
        
",N,"nutrients, pollution, human impact","nutrients, pollution, human activity",,,,Y
Steph,Rilov & Galil,2009,Review,"Marine bioinvasions in the Mediterranean Sea - History, distribution, and ecology",N,Invasives,Areas of high invasive species diversity/abundance,"bony fish,crustaceans,mollusks,macroalgae",Ecological Studies,31.283,32.357,Mediterranean Sea,"surface,mid,demersal","A book chapter about invasive species in the Med Sea. Invasive species were introduced via the Suez Canal and lagoons. The authors conducted an extensive review of recent literature and examined the spatiotemporal and ecological patterns of fish, crustaceans, molluscs, and algae. They included the date of first publication, species estalbishment status, species area of origin, and current maps of species distributions. They had additional data on fish to examine their biology and ecology. The Med Sea is one of the ""hottest hotspots"" of marine invasives. Per unit coastline, it has greater invasion density than anywhere else. This is due to high maritime traffic, aquaculture, and anthropogenic disturbance. Most introduced species were found in the Eastern portion, with fish the most evenly distributed among taxa studied. Most fish hailed from tropical waters as well and were shallow water, spawning, benthic carnivores, like the natives they are displacing. It is thought that currents also help to transport species as they flow primarily northward. Invasive jellyfish swarms negatively affected tourism, fisheries, and coastal installations like power plants. The authors close by stating that future work is needed to assess the ecological and human impacts of current and successful/unsuccessful invasions.  ",N,none,none,"shipping, aquaculture, human disturbance, currents, pollution, eutrophication","shipping, human activity, circulation, pollution",,Y
Conner,Aragones et al.,2010,Database,The Philippine marine mammal strandings from 1998 to 2009: Animals in the Philippines in peril?,Y,Mortality,"""An area of concern as strandings in this place are often unusually higher than in other regions and/or involve endangered or rare species.""","cetaceans,sirenians",Aquatic Mammals,12.036,122.775,Philippines,surface,"Researchers characterized stranding patterns and processes around the Philippine islands and identified hotspots of stranding via the Philippine Marine Mammal Stranding Network (PMMSN). They noted that most stranding reports have been sporadic/opportunistic, and aimed to identify species composition, temporal and spatial variation, if the animals were dead or alive, and hotspots of strandings. They also collected information on cause of death, like fishery interaction, noting that data as a whole was sparse at the start of the database in 1998 but steadily increased. 178 total strandings were recorded, of which 10 were mass strandings. The most frequent stranders were spinner dolphin, short-finned pilot whale, melon-headed whale, Risso's dolphin, and bottlenose dolphin. This study provides evidence that the Philippines supports a diverse assemblage of marine mammal species. They proposed that upwellings and monsoons may have lead to high stranding events, and that many starndings occured in the vicinity of illegal dynamite fishing. They had higher live strandings than most studies (65%) and argued that strandings can be used to learn more about the animals; an indirect importance of hotspots.",N,none,none,"monsoons, upwelling, fishing, noise, HAB","hydrology, circulation, pollution, primary productivity",,
Conner,Nur et al.,2010,"Survey, Database",Wildlife hotspots in the California Current system,Y,Abundance/Density,"""[A]reas that support aggregations of foraging seabirds...""",seabirds,PRBO Conservation Science,42.25,-124.649,California Current,"surface,mid,demersal","This project combined many NOAA datasets including Sardine and Rockfish surveys, California Current Ecosystem Study, CalCOFI, CCE/CPS, CSCAPE, ORCAWALE. They set 3 criteria for hotspots: overall abundance of species, importance of core areas to individual species, and predicted areas of persistence among years. This was the first study of its kind to cover such a large area. They incorporated bathymetric datasets and satellite data for SST and chlorophyll. They used satellite data from one month in each season (oceanic, Davidson current, and upwelling) to represent said season and the differing environmental conditions. This was all thrown into a bagged decision tree analysis. They found that depth variables (average, minimum, and contour index) and NPGO values 4-6 months before each survey were important. They found numerous hotspots outside of protected areas in northern and southern California and Washington/Oregon. No hotspots were found greater than 90 km offshore. Overall, there was variation for which predictor variable mattered most for each species. Results were consistent with previous work on cetaceans and their hotspots definitions often overlapped with each other. Limitations included the ability to not include salinity. They indicated next steps should be to do this with mammals.",Y,"bathymetry, distance to coast, depth, SST, chl-a, SSH","bathymetry, distance to physical features, temperature, primary productivity, circulation",,,,
Conner,van Ruth et al.,2010,Survey,Hot-spots of primary productivity: An alternative interpretation to conventional upwelling models,N,Abundance/Density,Areas of higher productivity.,plankton,"Estuarine, Coastal and Shelf Science",-34,135,Australia,surface,"This study sought to investigate the variation in primary productivity over space in the eastern Great Australian Bight (EGAB) by linking meterology, oceanography and cosatal topography with nutrient enrichment. Raw data consisting of pressure, conductivity, temperature, nutrient concentrations, biotic water samples, and photosynthetically active radiation were collected on research cruises over two sampling years, and remote sensing data including 3-hourly wind stress and satellite imagery of chlorophyll a were obtained as well. Results indicated that areas with the highest surface chlorophyll a levels were strongly influenced by upwelled water mass, with some areas rivaling the most productive parts of the oceans (Benguela and Humboldt currents). Interestingly, the surface mixed layer contributed up to 40% total productivity. There didn't seem to be any evidence of nutrient limitations.",N,upwelling,circulation,"mixing, micronutrients",nutrients,,
Dan,De Leo et al.,2010,Survey,Submarine canyons: hotspots of benthic biomass and productivity in the deep sea,N,Abundance/Density,High biomass areas?,"bony fish,cart fish,inverts",Proceedings of the Royal Society B,-41.75,175,New Zealand,demersal,"Researchers studied the influence of submarine canyons on ecosystem productivty and structure in the deep sea off the coast of New Zealand. They combined bottom grabs, towed camera arrays, trawl data, and core sampling from several research cruises in addition to trawl surveys to examine benthic biomass. They compiled bathymetric data from multiple sources to generate the first estimate of total submarine canyons in the world, and estimated that approximately 15% were likely hotspots of biomass akin to their own canyon observations off New Zealand given the similarities in topography, currents, and proximity to other areas of production. The focal canyon in this study had 100 fold higher grams of carbon and 10 fold higher abundances of infaunal benthos. The authors estimated that the canyon produces 2X10^3 tonnes of biomass annually, which exceeds the production of orange roughy, a major fishery, for the whole MidEast Coast stock in New Zealand that is derived from a significantly larger area. Final estimates suggest there could be up to 99 canyon hotspots around the world like the one in this study.",N,canyons,bathymetry,,,Compare the map in figure 1 to my map of hotspots,
Dan,Santora et al.,2010,Survey,Spatial association between hotspots of baleen whales and demographic patterns of Antarctic krill Euphasia superba suggests size-dependent predation,Y,Foraging,"""predictable locations where whale species and krill length-maturity classes occur annually"" ""persistent areas of occurence of both whales and krill""","cetaceans,krill",Marine Ecology Progress Series,-61.5,-58,Antarctica,"surface,mid","The authors examined hotspots of krill defined by different length frequencies and baleen whale associations with them in Antarctica. Specifically, the authors analyzed the spatial clustering of krill in different size classes to identify predictable locations where they aggrgate annually, and whether the whales and krill hotspots overlap. They made use of AMLR surveys from 2003-2007 in Drake Passage and Bransfield Strait with net tows and mammal/bird observations recorded on transect to map the abundance and distribution of krill and their predators. Information was compiled into ArcGIS and binned into 42 cells of 0.5 degrees lat by 1 degrees long. Getis-Ord G statistics were used to find clusters that were higher than expected by chance. Hotspots were categorized as non-significant, medium, or high based on the number of standard deviations from the mean represented by Z scores. A bootstrap and monte calro analyses were also conducted for correlation coefficient and confidence interval estimation. Spatial regression models were used in concert with 2-dimensional correlograms to look at the association between length classes and whales and assess autocorrelation and spatial dependency. They found that different species of baleen whales were associated with different sizes, with humpbacks preferring the smaller size krill, fin whales the larger, and minke somewhat in the middle. The size difference could be explained by the large energy content differences between krill size classes and the size, shape, and coarseness of the whale's baleen as well as feeding strategies. The study closed with implications for management which include a starting point for mitigating krill fishery interactions and advocated for continued close monitoring.",Y,prey size,species attributes,"fronts, eddies, bathymetry","fronts, eddies, bathymetry",Important findings on optimal foraging for ecology,
Dan,Thornburg et al.,2010,Review,Deep-sea hydrothermal vents: Potential hot spots for natural products discovery,N,Metabolic Production,Areas that produce natural products? ,microbes,Journal of Natural Products,NA,NA,Global,demersal,"A review of deep sea hydrothermal vent communities and their potential for new discoveries of natural products given the shift toward deriving such products from microbial communities. The authors found that the communities tend to occur in extremely patchy distributions, usually associated with a continuous underwater mountain chain, and like landbased hotspots, show high degrees of endemism and many unique habitats, with high diversity and low abundance. The main macrofauna include arthropods, gastropods, and annelids, and these communities serve as important sinks of organic carbon as well as hydrogen sulfide production, which is a major source of energy in these communities. In shallow waters, natural products were heavily derived from foraminifera. The rate of discovery of new natural products had its heyday in the 90s and early oughts, but has since seen a resurgence thanks to the shift in focus on microbes. The authors close by stating that there has been no proof yet of these hotspots being sources of natural products, but given all the patterns, they should be investigated as such.",N,seamounts,bathymetry,,,"A unique paper worth mentioning for the future of hotspots, but also consider removing",
Steph,Davidson et al.,2010,Survey,Recreational boats as potential vectors of marine organisms at an invasion hotspot,N,Invasives,Areas succeptible to invasive species. ,"inverts,macroalgae",Aquatic Biology,37.864,-122.371,San Francisco Bay,surface,"The authors investigated recreational boats as vectors of non-indigenous species (NIS) in San Francisco Bay. They conducted hull surveys using a pole mounted camera of 12 vessels at 6 marinas around the bay of varying salinities and also compiled answers from questionnaires given to boat owners to characterize vessel maintenance, husbandry, and voyage history. Each vessel was also assigned a Level of Fouling rating from 0-5. They found that the most active boaters also tended to manually clean their vessels, keeping fouling lower. 76% of boat trips occurred within the bay. There was no relationship with time of last maintenance and biofouling cover and the same was true of biofouling extent, richness, or composition and boat usage. The authors posit that their results suggest biofouling of recreational vessels represent a connection between NIS source populations and San Francisco Bay as well as a vector of dispersal into new areas. This is one of if not the first study that has looked at recreational hull fouling. They argue that movements in the Bay are increasing the chances of vector activity, and that vessels that go between fresh and saltwater likely have less fouling due to osmotic shock. Therefore, they recommend situating new marinas in low salinity waters. The LoF ranking was a good indicator of biofouling extent. The authors created a categorization scheme of vessels describing LoF and vector threats and argue this could be used by managers to help prevent or mitigate the spread of NIS. ",N,salinity,salinity,,,,Y
Steph,Hearn et al.,2010,"Survey, Biologging","Hotspots within hotspots? Hammerhead shark movements around Wolf Island, Galapagos Marine Reserve",Y,Abundance/Density,Area where sharks congregate,cart fish,Marine Biology,0.5,-91.5,Galapagos,"surface,mid","Looked at hammerhead shark movement patterns in the Galapagos Marine Reserve around Darwin and Wolf Islands. Outfitted >70 hammerheads with an array of transmitting tags and tracked their movements from a few days to 15 months depending on the tag type and longevity. The dive surveys used to attach the tags also took note of species assemblages over set time intervals. The most hammerheads were recorded in January with a preference for daytime. There was a hotspot found on Shark Point at Wolf Island, and another at the western side of Darwin Island. Species assemblages were richer at the SE corner of Wolf Island. It is thought these hotspots may serve as important staging grounds for transits to offshore foraging areas. The authors argue that the sites are important as they could be used to help conserve multiple species at once, especially if protection is extended to the nightly offshore feeding areas.",N,none,none,"seamounts,primary productivity,currents,proximity to forage grounds","bathymetry, primary productivity, circulation, distance to physical features",,Y
Steph,Montaudouin et al.,2010,"Survey, Lab",Bivalve population health: Multistress to identify hot spots,Y,Multi-Risk & Threat,Areas with multiple stress indices affecting cockle populations,mollusks,Marine Pollution Bulletin,44.595,-1.223,NE Atlantic,demersal,"Documented stress levels of two different bivalves, cockle and manila clam, in the NE Atlantic to determine short term stress that would affect physiology but not population dynamics, and long-term stress that would affect fitness of organism and population dynamics as a result. The authors monitored four populations each season for 2 years, collecting specimens from intertidal sites to measure condition index, extent of brown ring disease, brown muscle disease, trematode infestation, metal accumulation, metallothionein analysis and several immunological parameters. PCAs were used to determine stress factors and the other, response factors. The Landeda site was identified as a hotspot for multiple stressors and environmental features which was important as it had the potential to impact populations. ",N,"disease, metal pollution","species attributes, pollution",,,,Y
Z,Das et al.,2010,"Experiment, Survey, Radar",Towards marine bloom trajectory prediction for AUV mission planning,Y,Nutrients & Biogeochemical-Cycling,"Areas of ""intense biogeochemical activity"", ""we define a bloom hotspot as the region in a MODIS image M in which the pixels have FLH values f that are greater than a specified threshold F. This is a proxy for a region of intense biological activity""",plankton,IEEE Conference on Robotics & Automation,36.961,-121.912,California Current,surface,"A methods paper on how to plan for rapid response surveys of harmful algal blooms using a lawnmower method that best allocates resources and sampling effort. The authors used satellite chl-a measurements and surface currents from radar to document and predict hotspots of HABs and their likely advection pathways. They used data from recent bloms in 2007 and 2008 in Monterey Bay to generate their algorithm's detection and tracking ability, and found that it performed reasonably well. ",N,currents,circulation,,,,
Z,Morato et al.,2010,Fishery,Seamounts are hotspots of pelagic biodiversity in the open ocean,Y,Diversity & Endemism,"Areas of high biodiversity, ""Our analyses suggest that seamounts are hotspots of pelagicbiodiversity, because they show consistently higher species richnessthan do shore or oceanic areas""","bony fish,cart fish",PNAS,-20,170,"S Pacific,Coral Sea","surface,mid","Using records from a bycatch database, the authors generated GLMs for species that were caught greater than 500 times as bycatch, incorporating year, moon phase, geographical area (5 degree squares), fleet type, distance to closest feature, and fishing effort. If the distance effect to seamounts was significantly negative with a given taxa, they were considered to be associated with seamounts. This was shown to be true for several large HMS such as swordfish, blue marlin, yellowfin tuna, and others. Seamounts were shown to serve as predator aggregators and also proved viable as marine reserves given their concentration of various species, more so than ephemeral aggregating features.",N,seamounts,bathymetry,,,,
Z,Manzello,2010,Survey,Ocean acidification hot spots: Spatiotemporal dynamics of the seawater CO2 system of eastern Pacific coral reefs,Y,Eutrophication & Acidification,"Defined in the very last sentence of the paper, ""Galapagos coral communities, with the lowest ambient aragonite saturation and highest pCO2 of any coral reef yet studied, are thus ocean acidification hot spots.""",coral,Limnology & Oceanography,"-0.894, 8.220","-90.47, -79.009","Panama,Galapagos",demersal,"Compared ocean acidification in the Eastern Tropical Pacific at reef sites in Panama and the Galapagos Islands over several years in the mid 2000s. Samples were collected by SCUBA and analyzed for partial pressure of CO2 (pCO2), pH, TA, salinity, temp, and aragonite saturations through either direct measurement or derivation. Results reaffirmed that the Galapagos have the lowest aragonite saturations ever measured on a reef and have very minimal reef development. Accordingly, the Galapagos serve as a natural example of what may happen to other reefs when faced with the chemical and thermal alterations imparted by climate change. ",N,"aragonite saturation, temperature, pCO2, upwelling, temperature, precipitation, tides","nutrients, temperature, circulation, hydrology",,,,
Gemma,Baldwin et al.,2011,"Survey, Acoustics","Arabian sea humpback whales 2011 update: Resights, bulbble feeding and hotspots",N,Foraging,Area used consistently by an endangered sub-population,cetaceans,International Whaling Commission Scientific Committee paper,17.229,55.389,Arabian Sea,surface,Observed the location and behaviour of humpbacks and other cetaceans off the coast of Oman in the Arabian sea. Conducted photo surveys via small boat and recorded behaviors over 110 hours in conjunction with 37 hours of shore based surveys. Collected biopsies and deployed 1 sonobuoy to record whale song. Concluded that this area is an important site for activities including feeding and socializing and recommended that this area be protected to mitigate threats of entanglement and ship strike,N,none,none,NA,,"Not really a foraging hotspot - more a hotspot of occurrence/activity in general (foraging, socializing etc) ",Y
Gemma,Byrne et al.,2011,Lab,"Sea urchin development in a global change hotspot, potential for southerly migration of thermotolerant propagules",N,Warming,Area of faster than average ocean warming,urchins,Deep Sea Research II,-30.3,153.12,Australia,surface,"Conducted experiments to examine the effects of temperature on the development of urchin larvae to understand impacts of intensification of the East Australian Current (EAC) - an ocean warming hotspot. Found that increasing temperature led to abnormal embryo development. Acclimatization may already have occurred, and a subset of urchins may benefit from reduced pelagic larval duration which could decrease the threats of predation and delayed settlement. However, northern populations with no source of new recruits could still be at risk. Importance of hotspots was to help understand recruitment in an area of elevated climate change risk.",N,SST,temperature,,,,Y
